targetId,subgroupId,cohortId,cohortType,name
1000,2000,1000020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 0-9) with Black
1001,2000,1001020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 10-19) with Black
1002,2000,1002020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 20-29) with Black
1003,2000,1003020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 30-39) with Black
1004,2000,1004020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 40-49) with Black
1005,2000,1005020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 50-59) with Black
1006,2000,1006020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 60-69) with Black
1007,2000,1007020001,TwS,Persons observed in 2017 with 3yr prior observation (Age 70-79) with Black
1121,2000,1121020001,TwS,Incident Asthma or Chronic obstructive pulmonary disease (COPD) with Black
1122,2000,1122020001,TwS,Incident Asthma/COPD Step 1 with Black
1123,2000,1123020001,TwS,Incident Asthma/COPD Step 2 with Black
1124,2000,1124020001,TwS,Incident Asthma/COPD Step 3 with Black
1000,2001,1000020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 0-9) with Black Men
1001,2001,1001020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 10-19) with Black Men
1002,2001,1002020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 20-29) with Black Men
1003,2001,1003020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 30-39) with Black Men
1004,2001,1004020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 40-49) with Black Men
1005,2001,1005020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 50-59) with Black Men
1006,2001,1006020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 60-69) with Black Men
1007,2001,1007020011,TwS,Persons observed in 2017 with 3yr prior observation (Age 70-79) with Black Men
1121,2001,1121020011,TwS,Incident Asthma or Chronic obstructive pulmonary disease (COPD) with Black Men
1122,2001,1122020011,TwS,Incident Asthma/COPD Step 1 with Black Men
1123,2001,1123020011,TwS,Incident Asthma/COPD Step 2 with Black Men
1124,2001,1124020011,TwS,Incident Asthma/COPD Step 3 with Black Men
1000,2002,1000020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 0-9) with Black Women
1001,2002,1001020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 10-19) with Black Women
1002,2002,1002020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 20-29) with Black Women
1003,2002,1003020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 30-39) with Black Women
1004,2002,1004020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 40-49) with Black Women
1005,2002,1005020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 50-59) with Black Women
1006,2002,1006020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 60-69) with Black Women
1007,2002,1007020021,TwS,Persons observed in 2017 with 3yr prior observation (Age 70-79) with Black Women
1121,2002,1121020021,TwS,Incident Asthma or Chronic obstructive pulmonary disease (COPD) with Black Women
1122,2002,1122020021,TwS,Incident Asthma/COPD Step 1 with Black Women
1123,2002,1123020021,TwS,Incident Asthma/COPD Step 2 with Black Women
1124,2002,1124020021,TwS,Incident Asthma/COPD Step 3 with Black Women
1000,2003,1000020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 0-9) with Female
1001,2003,1001020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 10-19) with Female
1002,2003,1002020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 20-29) with Female
1003,2003,1003020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 30-39) with Female
1004,2003,1004020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 40-49) with Female
1005,2003,1005020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 50-59) with Female
1006,2003,1006020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 60-69) with Female
1007,2003,1007020031,TwS,Persons observed in 2017 with 3yr prior observation (Age 70-79) with Female
1121,2003,1121020031,TwS,Incident Asthma or Chronic obstructive pulmonary disease (COPD) with Female
1122,2003,1122020031,TwS,Incident Asthma/COPD Step 1 with Female
